Task ID,Sprint,Description,File Path,Status,Priority,Notes
T-001,1,TypeScript type interfaces for runtime,packages/runtime-core/src/types.ts,Done,P0,25+ interfaces — envelopes steps leases identities protocol messages
T-002,1,Constants enums and step configs,packages/runtime-core/src/constants.ts,Done,P0,Step configs status transitions tier defs display configs
T-003,1,SHA-256 hashing utilities,packages/runtime-core/src/hash.ts,Done,P0,Step hash identity fingerprint UUID generators
T-004,1,Firestore schema setup (indexes/rules),firestore.indexes.json,Done,P1,2026-03-21,Composite indexes created — covered by T-034; envelopes execution_steps leases agent_identities protocol_messages job_traces
T-005,2,Identity Kernel — agent fingerprint verification,packages/runtime-core/src/kernels/identity.ts,Done,P0,Verify register build identity context
T-006,2,Authority Kernel — lease management,packages/runtime-core/src/kernels/authority.ts,Done,P0,Acquire release validate expire stale leases
T-007,2,Persistence Kernel — Firestore CRUD,packages/runtime-core/src/kernels/persistence.ts,Done,P0,Envelope step checkpoint trace CRUD operations
T-008,2,Communications Kernel — protocol messaging,packages/runtime-core/src/kernels/communications.ts,Done,P0,Send broadcast get messages verb validation
T-009,2,Execution Kernel — step graph runner,packages/runtime-core/src/kernels/execution.ts,Done,P0,Hash verification checkpoint resume human_review gates
T-010,3,Envelope Builder,packages/runtime-core/src/envelope-builder.ts,Done,P0,Build canonical envelopes with step graph and hashes
T-011,3,Runtime Engine Orchestrator,packages/runtime-core/src/engine.ts,Done,P0,Full dispatch flow — identity authority envelope execution
T-012,3,Dispatch API Route,src/app/api/runtime/dispatch/route.ts,Done,P0,POST /api/runtime/dispatch
T-013,3,Envelope Detail API Route,src/app/api/runtime/envelope/[id]/route.ts,Done,P0,GET /api/runtime/envelope/[id]
T-014,3,Envelope Steps API Route,src/app/api/runtime/envelope/[id]/steps/route.ts,Done,P0,GET /api/runtime/envelope/[id]/steps
T-015,3,Lease Acquire API Route,src/app/api/runtime/lease/acquire/route.ts,Done,P0,POST /api/runtime/lease/acquire
T-016,3,Lease Release API Route,src/app/api/runtime/lease/release/route.ts,Done,P0,POST /api/runtime/lease/release
T-017,3,Checkpoint API Route,src/app/api/runtime/checkpoint/[id]/route.ts,Done,P0,GET/POST /api/runtime/checkpoint/[id]
T-018,3,Identity Verify API Route,src/app/api/runtime/identity/verify/route.ts,Done,P0,POST /api/runtime/identity/verify
T-019,4,useEnvelope Hook,src/hooks/useEnvelope.ts,Done,P0,Real-time envelope + steps subscription
T-020,4,useEnvelopes Hook,src/hooks/useEnvelopes.ts,Done,P0,All user envelopes with status counts
T-021,4,useLeases Hook,src/hooks/useLeases.ts,Done,P0,Active lease tracking
T-022,4,useIdentity Hook,src/hooks/useIdentity.ts,Done,P0,Agent identity subscription
T-023,4,useRuntimeStats Hook,src/hooks/useRuntimeStats.ts,Done,P0,Aggregate runtime metrics
T-024,5,EnvelopeInspector Component,src/components/EnvelopeInspector.tsx,Done,P0,Full envelope viewer with step graph
T-025,5,StepGraph Component,src/components/StepGraph.tsx,Done,P0,Visual step timeline
T-026,5,EnvelopeStepCard Component,src/components/EnvelopeStepCard.tsx,Done,P0,Expandable step card with I/O
T-027,5,LeaseManager Component,src/components/LeaseManager.tsx,Done,P0,Live lease countdown with revocation
T-028,5,IdentityPanel Component,src/components/IdentityPanel.tsx,Done,P0,Agent identity display
T-029,5,RuntimeGovernance Component,src/components/RuntimeGovernance.tsx,Done,P0,Step-level approve/reject gates
